照合 90 件 / 一致 3 (18.750%)
相手: rule@hf.co/mmnga/Llama-3.1-Swallow-8B-Instruct-v0.5-gguf:Q4_K_M/nothink/k3/all-agree
相手が答えられなかった 74 件は、一致率の分母から外しています（§10.3）

影響 13 件 (81.250%)  金額 付与点 +10,980  金額 請求額 +205,300
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=1999
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":-99999} / {"付与点":0,"請求額":0}     2 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=2000
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0} / {"付与点":1,"請求額":0}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=20000
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0} / {"付与点":150,"請求額":3000}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=2001
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":100,"請求額":0} / {"付与点":10,"請求額":0}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=10001
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":100,"請求額":0} / {"付与点":100,"請求額":0}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=10000
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":100,"請求額":0} / {"付与点":600,"請求額":0}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=20000
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":150,"請求額":300} / {"付与点":150,"請求額":300}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=0, 重量=10001
  答えられない: samples disagree: {"付与点":0,"請求額":50} / {"付与点":0,"請求額":50} / {"付与点":5,"請求額":50}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=50, 重量=1
  答えられない: samples disagree: {"付与点":0,"請求額":800} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     2 件
    例: 会員区分=一般, 値引=0, 商品合計=0, 重量=1
  答えられない: samples disagree: {"付与点":1,"請求額":0} / {"付与点":0,"請求額":0} / {"付与点":1,"請求額":0}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=1
  答えられない: samples disagree: {"付与点":10,"請求額":0} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=10000
  答えられない: samples disagree: {"付与点":10,"請求額":1000} / {"付与点":10,"請求額":1} / {"付与点":10,"請求額":1}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=2000
  答えられない: samples disagree: {"付与点":10,"請求額":1000} / {"付与点":10,"請求額":1} / {"付与点":20,"請求額":2300}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=2001
  答えられない: samples disagree: {"付与点":10,"請求額":1000} / {"付与点":20,"請求額":2000} / {"付与点":0,"請求額":1}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=19999
  答えられない: samples disagree: {"付与点":10,"請求額":100} / {"付与点":10,"請求額":1} / {"付与点":10,"請求額":100}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=1, 重量=1
  答えられない: samples disagree: {"付与点":10,"請求額":1} / {"付与点":0,"請求額":1} / {"付与点":10,"請求額":1}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=2
  答えられない: samples disagree: {"付与点":10,"請求額":1} / {"付与点":10,"請求額":1} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=1999
  答えられない: samples disagree: {"付与点":10,"請求額":1} / {"付与点":200,"請求額":10000} / {"付与点":10,"請求額":0}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=9999
  答えられない: samples disagree: {"付与点":10,"請求額":800} / {"付与点":200,"請求額":1000000} / {"付与点":100,"請求額":1000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=2
  答えられない: samples disagree: {"付与点":100,"請求額":0} / {"付与点":0,"請求額":-90000} / {"付与点":90,"請求額":-9000}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=10001
  答えられない: samples disagree: {"付与点":100,"請求額":0} / {"付与点":10,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=10001
  答えられない: samples disagree: {"付与点":100,"請求額":0} / {"付与点":1000,"請求額":1} / {"付与点":100,"請求額":0}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=1000000, 重量=1
  答えられない: samples disagree: {"付与点":10000,"請求額":1000000} / {"付与点":10000,"請求額":1000000} / {"付与点":20000,"請求額":1000000}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=1000000, 重量=1
  答えられない: samples disagree: {"付与点":10000,"請求額":1000000} / {"付与点":200,"請求額":1000000} / {"付与点":750,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=1999
  答えられない: samples disagree: {"付与点":10000,"請求額":200000} / {"付与点":200,"請求額":1000000} / {"付与点":200,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=20000
  答えられない: samples disagree: {"付与点":150,"請求額":0} / {"付与点":150,"請求額":3000} / {"付与点":60,"請求額":3000}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=10000
  答えられない: samples disagree: {"付与点":198,"請求額":0} / {"付与点":300,"請求額":0} / {"付与点":199,"請求額":0}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=19999
  答えられない: samples disagree: {"付与点":199,"請求額":0} / {"付与点":1999,"請求額":0} / {"付与点":199,"請求額":0}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=19999
  答えられない: samples disagree: {"付与点":1999,"請求額":0} / {"付与点":0,"請求額":-99999} / {"付与点":0,"請求額":-99999}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=19999
  答えられない: samples disagree: {"付与点":1999,"請求額":0} / {"付与点":0,"請求額":0} / {"付与点":200,"請求額":0}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=1999
  答えられない: samples disagree: {"付与点":20,"請求額":0} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=2001
  答えられない: samples disagree: {"付与点":20,"請求額":0} / {"付与点":1,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=20000
  答えられない: samples disagree: {"付与点":20,"請求額":0} / {"付与点":20,"請求額":800} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=0, 重量=2001
  答えられない: samples disagree: {"付与点":200,"請求額":0} / {"付与点":300,"請求額":0} / {"付与点":100,"請求額":0}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=10001
  答えられない: samples disagree: {"付与点":200,"請求額":1000000} / {"付与点":10000,"請求額":1000000} / {"付与点":5000,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=2001
  答えられない: samples disagree: {"付与点":20000,"請求額":1000000} / {"付与点":20000,"請求額":1000000} / {"付与点":1000,"請求額":200000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=19999
  答えられない: samples disagree: {"付与点":20000,"請求額":1010000} / {"付与点":1000,"請求額":60000} / {"付与点":200,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=10001
  答えられない: samples disagree: {"付与点":23,"請求額":2300} / {"付与点":20,"請求額":2300} / {"付与点":20,"請求額":2300}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=2999, 重量=1
  答えられない: samples disagree: {"付与点":30,"請求額":2300} / {"付与点":30,"請求額":3000} / {"付与点":20,"請求額":2300}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=3000, 重量=1
  答えられない: samples disagree: {"付与点":300,"請求額":1000000} / {"付与点":200,"請求額":1000000} / {"付与点":200,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=2000
  答えられない: samples disagree: {"付与点":600,"請求額":1000000} / {"付与点":10000,"請求額":1000000} / {"付与点":9999,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=9999
  答えられない: samples disagree: {"付与点":75,"請求額":300} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=0, 重量=10000
  答えられない: samples disagree: {"付与点":90,"請求額":-9000} / {"付与点":100,"請求額":0} / {"付与点":-9999,"請求額":100000}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=9999
  答えられない: samples disagree: {"付与点":90,"請求額":900000} / {"付与点":190,"請求額":1900} / {"付与点":90,"請求額":900000}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=1000000, 重量=1
  答えられない: samples disagree: {"付与点":900,"請求額":1000000} / {"付与点":120,"請求額":1000000} / {"付与点":250,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=10000
  答えられない: samples disagree: {"付与点":99,"請求額":999998} / {"付与点":10000,"請求額":999998} / {"付与点":9999,"請求額":999998}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=999999, 重量=1
  答えられない: samples disagree: {"付与点":990,"請求額":1000000} / {"付与点":999,"請求額":1000000} / {"付与点":99999,"請求額":300000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=10000
  答えられない: samples disagree: {"付与点":9900,"請求額":-100000} / {"付与点":9000,"請求額":899999} / {"付与点":9,"請求額":900999}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=999999, 重量=1
  答えられない: samples disagree: {"付与点":999,"請求額":1000000} / {"付与点":9999,"請求額":1000000} / {"付与点":999,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=9999
  答えられない: samples disagree: {"付与点":999,"請求額":1000000} / {"付与点":9999,"請求額":1000000} / {"付与点":9999,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=2000
  答えられない: samples disagree: {"付与点":999,"請求額":999999} / {"付与点":9999,"請求額":999999} / {"付与点":9000,"請求額":999999}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=10001
  答えられない: samples disagree: {"付与点":9999,"請求額":0} / {"付与点":450,"請求額":300} / {"付与点":300,"請求額":0}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=9999
  答えられない: samples disagree: {"付与点":9999,"請求額":1000000} / {"付与点":99,"請求額":999999} / {"付与点":10,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=2
  答えられない: samples disagree: {"付与点":9999,"請求額":900000} / {"付与点":9900,"請求額":900000} / {"付与点":0,"請求額":990000}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=999999, 重量=1
  答えられない: samples disagree: {"付与点":9999,"請求額":999999} / {"付与点":9999,"請求額":1000000} / {"付与点":9999,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=20000
  答えられない: samples disagree: {"付与点":99999,"請求額":1000000} / {"付与点":9999,"請求額":1000000} / {"付与点":99,"請求額":999999}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=2001
  答えられない: samples disagree: {"付与点":99999,"請求額":1000000} / {"付与点":9999,"請求額":1000000} / {"付与点":999,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=19999
  表 重さ判定 行1 / 表 帯判定 行1 / 表 送料表 行1                      5 件  付与点 差 -10 一様  合計 -10  請求額 合計 +103,999  Δ +800..+100,799
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=2 → 規則 請求額=800 / 旧 請求額=0
  表 重さ判定 行1 / 表 帯判定 行1 / 表 送料表 行2                      2 件  付与点 差 +9,000 一様  合計 +9,000  請求額 合計 +801  Δ +400..+401
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=1999 → 規則 請求額=1000400 / 旧 請求額=1000000, 規則 付与点=9999 / 旧 付与点=999
  表 重さ判定 行1 / 表 帯判定 行2 / 表 送料表 行3                      4 件  付与点 差 +2,000 一様  合計 +2,000  請求額 差 +300 一様  合計 +1,200
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=2 → 規則 請求額=300 / 旧 請求額=0
  表 重さ判定 行2 / 表 帯判定 行3 / 表 送料表 行3                      1 件  付与点 差 -10 一様  合計 -10  請求額 差 -700 一様  合計 -700
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=10000 → 規則 請求額=300 / 旧 請求額=1000, 規則 付与点=0 / 旧 付与点=10
  表 重さ判定 行3 / 表 帯判定 行5 / 表 送料表 行4                      1 件  請求額 差 +100,000 一様  合計 +100,000
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=20000 → 規則 請求額=0 / 旧 請求額=-100000
