照合 90 件 / 一致 33 (62.264%)
相手: article@qwen3.6:35b-a3b/nothink/k3/all-agree
相手が答えられなかった 37 件は、一致率の分母から外しています（§10.3）

影響 20 件 (37.736%)  金額 付与点 -6,000  金額 請求額 +8,830
  答えられない: samples disagree: {"付与点":0,"請求額":800} / {"付与点":0,"請求額":800} / {"付与点":0,"請求額":1300}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=1999
  答えられない: samples disagree: {"付与点":0,"請求額":800} / {"付与点":0,"請求額":800} / {"付与点":0,"請求額":300}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=0, 重量=1
  答えられない: samples disagree: {"付与点":10000,"請求額":1003800} / {"付与点":12000,"請求額":1000300} / {"付与点":12000,"請求額":1003400}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=2
  答えられない: samples disagree: {"付与点":12000,"請求額":1000400} / {"付与点":12000,"請求額":1004000} / {"付与点":15000,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=1999
  答えられない: samples disagree: {"付与点":14999,"請求額":899900} / {"付与点":9999,"請求額":902000} / {"付与点":1499,"請求額":900000}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=999999, 重量=1
  答えられない: samples disagree: {"付与点":14999,"請求額":999990} / {"付与点":14999,"請求額":999700} / {"付与点":14999,"請求額":999700}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=10000
  答えられない: samples disagree: {"付与点":14999,"請求額":999990} / {"付与点":14999,"請求額":999999} / {"付与点":14999,"請求額":999999}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=10001
  答えられない: samples disagree: {"付与点":1499998,"請求額":999600} / {"付与点":1499998,"請求額":999600} / {"付与点":14999,"請求額":999990}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=999999, 重量=1
  答えられない: samples disagree: {"付与点":1500,"請求額":1000000} / {"付与点":15000,"請求額":997000} / {"付与点":15000,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=10000
  答えられない: samples disagree: {"付与点":15000,"請求額":1000000} / {"付与点":150000,"請求額":999500} / {"付与点":15000,"請求額":999900}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=1000000, 重量=1
  答えられない: samples disagree: {"付与点":15000,"請求額":1000300} / {"付与点":15000,"請求額":1000000} / {"付与点":12000,"請求額":1003400}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=2000
  答えられない: samples disagree: {"付与点":15000,"請求額":1000300} / {"付与点":15000,"請求額":996700} / {"付与点":15000,"請求額":1000300}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=2001
  答えられない: samples disagree: {"付与点":15000,"請求額":1500000} / {"付与点":15000,"請求額":1000000} / {"付与点":1500,"請求額":999600}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=1000000, 重量=1
  答えられない: samples disagree: {"付与点":15000,"請求額":902400} / {"付与点":15000,"請求額":908000} / {"付与点":15000,"請求額":902800}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=1000000, 重量=1
  答えられない: samples disagree: {"付与点":15000,"請求額":903000} / {"付与点":1500,"請求額":903000} / {"付与点":15000,"請求額":900000}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=1000000, 重量=1
  答えられない: samples disagree: {"付与点":9999,"請求額":1000000} / {"付与点":9999,"請求額":999600} / {"付与点":9999,"請求額":999600}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=2000
  答えられない: samples disagree: {"付与点":9999,"請求額":903000} / {"付与点":9999,"請求額":1003900} / {"付与点":9999,"請求額":900300}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=999999, 重量=1
  答えられない: samples disagree: {"付与点":9999,"請求額":999600} / {"付与点":9999,"請求額":999990} / {"付与点":9999,"請求額":999600}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=1999
  答えられない: samples disagree: {"付与点":9999,"請求額":999990} / {"付与点":14999,"請求額":999990} / {"付与点":14999,"請求額":999990}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=2001
  答えられない: samples disagree: {"付与点":9999,"請求額":999990} / {"付与点":9999,"請求額":999599} / {"付与点":9999,"請求額":999699}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=999999, 重量=1
  答えられない: samples disagree: {"付与点":9999,"請求額":999990} / {"付与点":9999,"請求額":999800} / {"付与点":9999,"請求額":999699}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=2
  表 重さ判定 行1 / 表 帯判定 行1 / 表 送料表 行1                      8 件  請求額 差 +800 一様  合計 +6,400
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=2 → 規則 請求額=800 / 旧 請求額=0
  表 重さ判定 行1 / 表 帯判定 行2 / 表 送料表 行3                      3 件  請求額 差 +300 一様  合計 +900
    例: 会員区分=上位, 値引=1, 商品合計=0, 重量=1 → 規則 請求額=300 / 旧 請求額=0
  表 重さ判定 行2 / 表 帯判定 行3 / 表 送料表 行3                      6 件  付与点 差 -3,000 一様  合計 -6,000  請求額 合計 +1,810  Δ +300..+310
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=9999 → 規則 請求額=1000300 / 旧 請求額=999990, 規則 付与点=11999 / 旧 付与点=14999
  表 重さ判定 行2 / 表 帯判定 行4 / 表 送料表 行4                      1 件  請求額 差 -300 一様  合計 -300
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=2001 → 規則 請求額=0 / 旧 請求額=300
  表 重さ判定 行3 / 表 帯判定 行5 / 表 送料表 行4                      2 件  請求額 差 +10 一様  合計 +20
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=19999 → 規則 請求額=1000000 / 旧 請求額=999990
