照合 90 件 / 一致 9 (26.471%)
相手: doc@hf.co/mmnga/Llama-3.1-Swallow-8B-Instruct-v0.5-gguf:Q4_K_M/nothink/k3/all-agree
相手が答えられなかった 56 件は、一致率の分母から外しています（§10.3）

影響 25 件 (73.529%)  金額 付与点 +10,969  金額 請求額 +310,201
  答えられない: samples disagree: {"付与点":150,"請求額":1000000} / {"付与点":200,"請求額":1000000} / {"付与点":300,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=10000
  答えられない: samples disagree: {"付与点":30,"請求額":3000} / {"付与点":20,"請求額":2300} / {"付与点":30,"請求額":3000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=3000, 重量=1
  答えられない: samples disagree: {"付与点":300,"請求額":20000} / {"付与点":600,"請求額":20000} / {"付与点":300,"請求額":20000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=20000
  答えられない: samples disagree: {"付与点":3333,"請求額":999999} / {"付与点":9999,"請求額":999999} / {"付与点":9999,"請求額":999999}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=10001
  答えられない: samples disagree: {"付与点":500,"請求額":1000000} / {"付与点":10000,"請求額":1000000} / {"付与点":10000,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=10001
  答えられない: samples disagree: {"付与点":90,"請求額":9000} / {"付与点":0,"請求額":-9900} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=9999
  答えられない: samples disagree: {"付与点":999,"請求額":300000} / {"付与点":9999,"請求額":1000000} / {"付与点":9999,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=2000
  答えられない: samples disagree: {"付与点":999,"請求額":899900} / {"付与点":300,"請求額":1000000} / {"付与点":2700,"請求額":900000}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=999999, 重量=1
  答えられない: samples disagree: {"付与点":9999,"請求額":-100000} / {"付与点":9999,"請求額":-1000} / {"付与点":9999,"請求額":-100000}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=999999, 重量=1
  答えられない: samples disagree: {"付与点":9999,"請求額":1000000} / {"付与点":999,"請求額":1000000} / {"付与点":99999,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=19999
  答えられない: samples disagree: {"付与点":9999,"請求額":1000000} / {"付与点":9999,"請求額":1000000} / {"付与点":300,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=9999
  答えられない: samples disagree: {"付与点":9999,"請求額":200000} / {"付与点":999,"請求額":199900} / {"付与点":999,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=20000
  答えられない: samples disagree: {"付与点":9999,"請求額":999999} / {"付与点":9999,"請求額":1000000} / {"付与点":9999,"請求額":1000000}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=999999, 重量=1
  答えられない: samples disagree: {"付与点":99999,"請求額":1000000} / {"付与点":9999,"請求額":1000000} / {"付与点":9999,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=2
  答えられない: samples disagree: {"付与点":99999,"請求額":1000000} / {"付与点":9999,"請求額":1000000} / {"付与点":9999,"請求額":999999}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=10000
  表 重さ判定 行1 / 表 帯判定 行1 / 表 送料表 行1                      7 件  付与点 合計 -11  Δ -10..+9  請求額 合計 +106,298  Δ +799..+100,800
    例: 会員区分=一般, 値引=0, 商品合計=0, 重量=2000 → 規則 請求額=800 / 旧 請求額=0
  表 重さ判定 行1 / 表 帯判定 行1 / 表 送料表 行2                      4 件  請求額 合計 +1,603  Δ +400..+402
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=2 → 規則 請求額=1000400 / 旧 請求額=1000000
  表 重さ判定 行1 / 表 帯判定 行2 / 表 送料表 行3                      3 件  請求額 差 +300 一様  合計 +900
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=1 → 規則 請求額=300 / 旧 請求額=0
  表 重さ判定 行2 / 表 帯判定 行3 / 表 送料表 行3                      8 件  付与点 合計 +5,980  Δ -10..+2,000  請求額 合計 +101,399  Δ -700..+100,300
    例: 会員区分=一般, 値引=0, 商品合計=0, 重量=2001 → 規則 請求額=300 / 旧 請求額=0
  表 重さ判定 行3 / 表 帯判定 行5 / 表 送料表 行4                      3 件  付与点 差 +5,000 一様  合計 +5,000  請求額 合計 +100,001  Δ +1..+100,000
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=19999 → 規則 付与点=15000 / 旧 付与点=10000
