照合 90 件 / 一致 18 (40.909%)
相手: article@hf.co/mmnga/Llama-3.1-Swallow-8B-Instruct-v0.5-gguf:Q4_K_M/nothink/k3/all-agree
相手が答えられなかった 46 件は、一致率の分母から外しています（§10.3）

影響 26 件 (59.091%)  金額 付与点 +16,970  金額 請求額 +1,008,990
  答えられない: samples disagree: {"付与点":10,"請求額":0} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=10000
  答えられない: samples disagree: {"付与点":10,"請求額":1000} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=2000
  答えられない: samples disagree: {"付与点":10,"請求額":100} / {"付与点":0,"請求額":10} / {"付与点":0,"請求額":1}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=1000000, 重量=1
  答えられない: samples disagree: {"付与点":10,"請求額":100} / {"付与点":0,"請求額":10} / {"付与点":20,"請求額":2000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=1999
  答えられない: samples disagree: {"付与点":10000,"請求額":1000000} / {"付与点":100,"請求額":4000} / {"付与点":6000,"請求額":1000000}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=1000000, 重量=1
  答えられない: samples disagree: {"付与点":10000,"請求額":1000000} / {"付与点":10000,"請求額":1000000} / {"付与点":300,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=9999
  答えられない: samples disagree: {"付与点":10000,"請求額":1000100} / {"付与点":200,"請求額":1000000} / {"付与点":10000,"請求額":1000800}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=2
  答えられない: samples disagree: {"付与点":15000,"請求額":1000000} / {"付与点":600,"請求額":40000} / {"付与点":10000,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=20000
  答えられない: samples disagree: {"付与点":19,"請求額":2000} / {"付与点":30,"請求額":3000} / {"付与点":22,"請求額":2300}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=999999, 重量=1
  答えられない: samples disagree: {"付与点":20,"請求額":2300} / {"付与点":20,"請求額":2300} / {"付与点":30,"請求額":800}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=3000, 重量=1
  答えられない: samples disagree: {"付与点":29,"請求額":3000} / {"付与点":38,"請求額":3800} / {"付与点":0,"請求額":300}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=2001
  答えられない: samples disagree: {"付与点":29,"請求額":3000} / {"付与点":99,"請求額":3000} / {"付与点":30,"請求額":3000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=10000
  答えられない: samples disagree: {"付与点":30,"請求額":3000} / {"付与点":30,"請求額":3000} / {"付与点":100,"請求額":3000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=2000
  答えられない: samples disagree: {"付与点":30,"請求額":3800} / {"付与点":38,"請求額":3800} / {"付与点":30,"請求額":3000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=19999
  答えられない: samples disagree: {"付与点":33,"請求額":3400} / {"付与点":29,"請求額":3800} / {"付与点":29,"請求額":3800}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=2999, 重量=1
  答えられない: samples disagree: {"付与点":37,"請求額":3800} / {"付与点":22,"請求額":2300} / {"付与点":9,"請求額":1900}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=999999, 重量=1
  答えられない: samples disagree: {"付与点":38,"請求額":3800} / {"付与点":10000,"請求額":1000000} / {"付与点":150,"請求額":3000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=10000
  答えられない: samples disagree: {"付与点":38,"請求額":3800} / {"付与点":3000,"請求額":190000} / {"付与点":1500,"請求額":190000}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=1000000, 重量=1
  答えられない: samples disagree: {"付与点":38,"請求額":3800} / {"付与点":39,"請求額":3800} / {"付与点":30,"請求額":3800}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=1999
  答えられない: samples disagree: {"付与点":99,"請求額":0} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=9999
  答えられない: samples disagree: {"付与点":99,"請求額":3000} / {"付与点":29,"請求額":3000} / {"付与点":29,"請求額":3000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=1999
  答えられない: samples disagree: {"付与点":99,"請求額":3000} / {"付与点":99,"請求額":3000} / {"付与点":30,"請求額":3000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=2000
  答えられない: samples disagree: {"付与点":9900,"請求額":1000000} / {"付与点":9999,"請求額":1000000} / {"付与点":9999,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=999999, 重量=1
  答えられない: samples disagree: {"付与点":9999,"請求額":1000000} / {"付与点":9999,"請求額":1000000} / {"付与点":29,"請求額":2000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=9999
  答えられない: samples disagree: {"付与点":9999,"請求額":1000000} / {"付与点":9999,"請求額":1000000} / {"付与点":9900,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=20000
  答えられない: samples disagree: {"付与点":9999,"請求額":300000} / {"付与点":9999,"請求額":1000000} / {"付与点":3999,"請求額":39998}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=19999
  答えられない: samples disagree: {"付与点":9999,"請求額":999} / {"付与点":10000,"請求額":999999} / {"付与点":9999,"請求額":999999}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=1000000, 重量=1
  表 重さ判定 行1 / 表 帯判定 行1 / 表 送料表 行1                     10 件  請求額 合計 +7,990  Δ +790..+800
    例: 会員区分=一般, 値引=0, 商品合計=0, 重量=1 → 規則 請求額=800 / 旧 請求額=0
  表 重さ判定 行1 / 表 帯判定 行1 / 表 送料表 行2                      1 件  請求額 差 +400 一様  合計 +400
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=2 → 規則 請求額=1000400 / 旧 請求額=1000000
  表 重さ判定 行1 / 表 帯判定 行2 / 表 送料表 行3                      9 件  付与点 差 +2,000 一様  合計 +2,000  請求額 差 +300 一様  合計 +2,700
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=1 → 規則 請求額=300 / 旧 請求額=0
  表 重さ判定 行2 / 表 帯判定 行3 / 表 送料表 行3                      4 件  請求額 差 +300 一様  合計 +1,200
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=9999 → 規則 請求額=300 / 旧 請求額=0
  表 重さ判定 行2 / 表 帯判定 行4 / 表 送料表 行4                      1 件  請求額 差 -300 一様  合計 -300
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=2001 → 規則 請求額=0 / 旧 請求額=300
  表 重さ判定 行3 / 表 帯判定 行5 / 表 送料表 行4                      1 件  付与点 差 +14,970 一様  合計 +14,970  請求額 差 +997,000 一様  合計 +997,000
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=10001 → 規則 請求額=1000000 / 旧 請求額=3000, 規則 付与点=15000 / 旧 付与点=30
