照合 90 件 / 一致 13 (41.935%)
相手: rule@qwen3.6:35b-a3b/nothink/k3/all-agree
相手が答えられなかった 59 件は、一致率の分母から外しています（§10.3）

影響 18 件 (58.065%)  金額 付与点 -3,001  金額 請求額 +5,699
  答えられない: samples disagree: {"付与点":0,"請求額":300} / {"付与点":0,"請求額":300} / {"付与点":36,"請求額":300}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=10000
  答えられない: samples disagree: {"付与点":0,"請求額":300} / {"付与点":240,"請求額":300} / {"付与点":24,"請求額":300}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=0, 重量=10000
  答えられない: samples disagree: {"付与点":0,"請求額":5000} / {"付与点":0,"請求額":300} / {"付与点":0,"請求額":5000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=0, 重量=10001
  答えられない: samples disagree: {"付与点":0,"請求額":800} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":800}     2 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=1999
  答えられない: samples disagree: {"付与点":0,"請求額":800} / {"付与点":0,"請求額":800} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=0, 重量=1
  答えられない: samples disagree: {"付与点":0,"請求額":850} / {"付与点":5,"請求額":800} / {"付与点":5,"請求額":850}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=50, 重量=1
  答えられない: samples disagree: {"付与点":1,"請求額":300} / {"付与点":1,"請求額":300} / {"付与点":2,"請求額":300}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=1, 重量=1
  答えられない: samples disagree: {"付与点":1,"請求額":800} / {"付与点":20,"請求額":800} / {"付与点":1,"請求額":800}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=1999
  答えられない: samples disagree: {"付与点":10,"請求額":800} / {"付与点":1,"請求額":800} / {"付与点":1,"請求額":800}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=2000
  答えられない: samples disagree: {"付与点":10000,"請求額":1000000} / {"付与点":10000,"請求額":1000000} / {"付与点":15000,"請求額":999900}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=1000000, 重量=1
  答えられない: samples disagree: {"付与点":10000,"請求額":999990} / {"付与点":9999,"請求額":1000000} / {"付与点":11999,"請求額":999999}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=2
  答えられない: samples disagree: {"付与点":11999,"請求額":999699} / {"付与点":17999,"請求額":999699} / {"付与点":179949,"請求額":999699}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=999999, 重量=1
  答えられない: samples disagree: {"付与点":12,"請求額":300} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=9999
  答えられない: samples disagree: {"付与点":12,"請求額":300} / {"付与点":12,"請求額":300} / {"付与点":1,"請求額":300}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=9999
  答えられない: samples disagree: {"付与点":1200,"請求額":100300} / {"付与点":12000,"請求額":100400} / {"付与点":12000,"請求額":100300}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=2000
  答えられない: samples disagree: {"付与点":12000,"請求額":1000000} / {"付与点":120000,"請求額":1003000} / {"付与点":15000,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=2
  答えられない: samples disagree: {"付与点":120000,"請求額":100300} / {"付与点":1200,"請求額":100300} / {"付与点":15000,"請求額":997000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=10000
  答えられない: samples disagree: {"付与点":1499,"請求額":999990} / {"付与点":149999,"請求額":999990} / {"付与点":149999,"請求額":999990}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=19999
  答えられない: samples disagree: {"付与点":14999,"請求額":1000000} / {"付与点":14999,"請求額":1000000} / {"付与点":15000,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=9999
  答えられない: samples disagree: {"付与点":14999,"請求額":999999} / {"付与点":149999,"請求額":999999} / {"付与点":150000,"請求額":999999}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=10001
  答えられない: samples disagree: {"付与点":14999,"請求額":999999} / {"付与点":149999,"請求額":999999} / {"付与点":2999,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=2001
  答えられない: samples disagree: {"付与点":149999,"請求額":999699} / {"付与点":1499,"請求額":999999} / {"付与点":149999,"請求額":999699}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=10000
  答えられない: samples disagree: {"付与点":149999,"請求額":999990} / {"付与点":149999,"請求額":999999} / {"付与点":149999,"請求額":999990}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=20000
  答えられない: samples disagree: {"付与点":15,"請求額":10} / {"付与点":1,"請求額":10} / {"付与点":0,"請求額":10}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=20000
  答えられない: samples disagree: {"付与点":150,"請求額":0} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=上位, 値引=100000, 商品合計=0, 重量=1
  答えられない: samples disagree: {"付与点":150,"請求額":3000} / {"付与点":15,"請求額":5000} / {"付与点":0,"請求額":1}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=10001
  答えられない: samples disagree: {"付与点":1500,"請求額":1000000} / {"付与点":1500,"請求額":1000000} / {"付与点":150000,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=20000
  答えられない: samples disagree: {"付与点":1500,"請求額":1000000} / {"付与点":15000,"請求額":1000000} / {"付与点":1500,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=19999
  答えられない: samples disagree: {"付与点":15000,"請求額":1000000} / {"付与点":1500,"請求額":1000000} / {"付与点":15000,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=10001
  答えられない: samples disagree: {"付与点":15000,"請求額":100300} / {"付与点":15000,"請求額":1000000} / {"付与点":15000,"請求額":997000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=2001
  答えられない: samples disagree: {"付与点":15000,"請求額":900000} / {"付与点":15000,"請求額":904000} / {"付与点":15000,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=1000000, 重量=1
  答えられない: samples disagree: {"付与点":15000,"請求額":90200} / {"付与点":15000,"請求額":900000} / {"付与点":15000,"請求額":999200}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=1000000, 重量=1
  答えられない: samples disagree: {"付与点":18,"請求額":300} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=9999
  答えられない: samples disagree: {"付与点":24,"請求額":300} / {"付与点":1,"請求額":300} / {"付与点":12,"請求額":300}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=10000
  答えられない: samples disagree: {"付与点":2400,"請求額":1000000} / {"付与点":15000,"請求額":1000000} / {"付与点":15000,"請求額":1000000}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=1000000, 重量=1
  答えられない: samples disagree: {"付与点":2400,"請求額":100300} / {"付与点":1200,"請求額":1000000} / {"付与点":12000,"請求額":100300}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=1999
  答えられない: samples disagree: {"付与点":29,"請求額":3799} / {"付与点":30,"請求額":2799} / {"付与点":20,"請求額":3799}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=2999, 重量=1
  答えられない: samples disagree: {"付与点":3,"請求額":0} / {"付与点":0,"請求額":800} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=2001
  答えられない: samples disagree: {"付与点":30,"請求額":0} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=1999
  答えられない: samples disagree: {"付与点":36,"請求額":300} / {"付与点":0,"請求額":300} / {"付与点":0,"請求額":300}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=2001
  答えられない: samples disagree: {"付与点":45,"請求額":300} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=10001
  答えられない: samples disagree: {"付与点":6,"請求額":300} / {"付与点":0,"請求額":300} / {"付与点":6,"請求額":300}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=0, 重量=2001
  答えられない: samples disagree: {"付与点":6,"請求額":300} / {"付与点":2,"請求額":300} / {"付与点":0,"請求額":800}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=2001
  答えられない: samples disagree: {"付与点":9999,"請求額":1000000} / {"付与点":11999,"請求額":1004000} / {"付与点":12000,"請求額":999999}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=1999
  答えられない: samples disagree: {"付与点":9999,"請求額":1000000} / {"付与点":11999,"請求額":999399} / {"付与点":9999,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=2000
  答えられない: samples disagree: {"付与点":9999,"請求額":989990} / {"付与点":9999,"請求額":90200} / {"付与点":999,"請求額":900}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=999999, 重量=1
  答えられない: samples disagree: {"付与点":9999,"請求額":999900} / {"付与点":99990,"請求額":1070000} / {"付与点":9999,"請求額":999999}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=999999, 重量=1
  答えられない: samples disagree: {"付与点":99990,"請求額":900400} / {"付与点":9999,"請求額":900200} / {"付与点":99999,"請求額":900990}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=999999, 重量=1
  表 重さ判定 行1 / 表 帯判定 行1 / 表 送料表 行1                      9 件  付与点 差 -1 一様  合計 -1  請求額 差 +800 一様  合計 +6,400
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=2 → 規則 付与点=0 / 旧 付与点=1
  表 重さ判定 行1 / 表 帯判定 行1 / 表 送料表 行2                      1 件  請求額 差 -400 一様  合計 -400
    例: 会員区分=一般, 値引=0, 商品合計=3000, 重量=1 → 規則 請求額=3400 / 旧 請求額=3800
  表 重さ判定 行1 / 表 帯判定 行2 / 表 送料表 行3                      2 件  請求額 差 +300 一様  合計 +600
    例: 会員区分=上位, 値引=1, 商品合計=0, 重量=1 → 規則 請求額=300 / 旧 請求額=0
  表 重さ判定 行2 / 表 帯判定 行3 / 表 送料表 行3                      1 件  付与点 差 -3,000 一様  合計 -3,000  請求額 差 +300 一様  合計 +300
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=9999 → 規則 請求額=1000300 / 旧 請求額=1000000, 規則 付与点=12000 / 旧 付与点=15000
  表 重さ判定 行2 / 表 帯判定 行4 / 表 送料表 行4                      3 件  請求額 差 -300 一様  合計 -900
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=2001 → 規則 請求額=0 / 旧 請求額=300
  表 重さ判定 行3 / 表 帯判定 行5 / 表 送料表 行4                      2 件  請求額 合計 -301  Δ -300..-1
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=19999 → 規則 請求額=0 / 旧 請求額=1
