照合 90 件 / 一致 12 (40.000%)
相手: doc@qwen3.6:35b-a3b/nothink/k3/all-agree
相手が答えられなかった 60 件は、一致率の分母から外しています（§10.3）

影響 18 件 (60.000%)  金額 付与点 -3,002  金額 請求額 +902,200
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=1999 → 規則 付与点=0 / 旧 付与点=1
  表 重さ判定 行1 / 表 帯判定 行1 / 表 送料表 行2                      1 件  請求額 差 -400 一様  合計 -400
    例: 会員区分=一般, 値引=0, 商品合計=3000, 重量=1 → 規則 請求額=3400 / 旧 請求額=3800
  表 重さ判定 行1 / 表 帯判定 行2 / 表 送料表 行3                      4 件  付与点 差 -3,000 一様  合計 -3,000  請求額 合計 +900,900  Δ +300..+900,000
    例: 会員区分=上位, 値引=0, 商品合計=1000000, 重量=1 → 規則 請求額=1000300 / 旧 請求額=100300, 規則 付与点=12000 / 旧 付与点=15000
  表 重さ判定 行2 / 表 帯判定 行3 / 表 送料表 行3                      5 件  付与点 差 -1 一様  合計 -1  請求額 合計 -100  Δ -500..+300
    例: 会員区分=一般, 値引=0, 商品合計=0, 重量=2001 → 規則 請求額=300 / 旧 請求額=800
  表 重さ判定 行2 / 表 帯判定 行4 / 表 送料表 行4                      2 件  請求額 差 -300 一様  合計 -600
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=2001 → 規則 請求額=0 / 旧 請求額=300
  表 重さ判定 行3 / 表 帯判定 行5 / 表 送料表 行4                      1 件  請求額 差 -800 一様  合計 -800
    例: 会員区分=一般, 値引=0, 商品合計=0, 重量=10001 → 規則 請求額=0 / 旧 請求額=800
